WGS84 UTM 44N
303616 2333984
14.80691391468281 19.02681966777891 374.8
-32.265523548820056 6.624021377880126 374.8
-16.194050050224178 2.38508607307449 374.8
-41.08460871881107 -32.03444156004116 374.7
-2.2323889429681003 -32.19772419333458 374.8
18.15241081279237 -22.04623510595411 374.4
-3.0598710514605045 14.532872376963496 374.5
36.64547067473177 -32.87490544794127 374.9
-28.69986533152405 -2.7938785343430936 374.4
-3.1429932857863605 -4.853919838089496 374.7
10.327576268929988 46.05620968295261 374.9
-3.1291905511170626 24.49058069474995 374.9
-35.56699624180328 -19.29785864846781 374.8
9.104076882591471 24.71127592632547 374.3
-26.17511620488949 16.06559718819335 374.4
-3.5003782609128393 -24.24360500695184 374.5
49.96678344963584 31.239037968683988 374.9
-28.900592533114832 24.283116150647402 374.7
-48.12542906112503 -6.069632696919143 374.8
-28.156902661314234 -6.414584649261087 374.7
20.676192928571254 -3.5066456627100706 374.4
45.919553407409694 6.193432135507464 374.8
1.9591634925454855 15.679016723297536 374.3
-28.98771437915275 18.166064742021263 374.8
24.94023693073541 -22.41908843908459 374.3
7.513318653567694 -31.433785911649466 374.4
9.345990564790554 -41.181745174806565 374.8
8.97497095784638 -50.5436362833716 375.0
-15.81708592933137 60.8330926024355 374.8
-45.326396772579756 -19.028085402213037 374.9
-16.65636040933896 -36.52340053766966 374.8
-17.00260984909255 43.90171020384878 374.5
3.3834818701725453 -12.645970131270587 374.4
13.67965283698868 -3.208209285978228 374.5
32.59009876626078 33.73704195674509 374.4
26.058277445845306 6.08793174661696 374.7
43.67472179385368 18.66850670753047 374.9
10.210321672144346 36.42984631471336 374.7
22.034414370078593 -47.361364234704524 374.8
-16.832645395072177 34.64104807842523 374.4
16.229024200234562 24.774274325929582 374.4
-29.58555894973688 -39.433429141528904 374.9
-25.960345969127957 -19.304354371502995 374.7
-29.938811626227107 -49.727548686321825 374.7
-29.23899856186472 -1.0372502692043781 375.0
-16.135821207251865 12.144417989067733 374.8
42.840992206241935 -19.684960644692183 374.7
50.14119889878202 31.098548027686775 375.0
10.509541355597321 -12.733707984909415 374.5
-2.672340385208372 34.51586052402854 374.4
6.782610662048683 6.193890883587301 374.8
-11.93082077614963 -32.38393793255091 374.9
-15.643361858383287 50.67420507222414 374.8
-34.92206274939235 -31.34175811195746 374.4
48.42485805717297 18.56286726379767 374.9
-50.90390796860447 -19.072537436615676 374.6
4.057053605560213 -22.038727959617972 374.4
-2.5179003556258976 53.345057267230004 374.8
9.972680485108867 -2.281368485186249 374.7
24.39161849115044 18.876041705254465 374.8
-20.748838674277067 -31.113373959902674 374.4
9.1481751332758 -56.37463859701529 374.8
-10.11477120697964 -21.90726183122024 374.4
-4.9616110030328855 25.02603799570352 374.3
-29.143788307439536 -10.515417581424117 374.7
-2.843555188155733 43.671953964512795 374.8
34.19563904986717 18.71958806272596 374.9
-12.085828269599006 25.024559259880334 374.3
-2.5829532287898473 59.28858644980937 374.7
-7.923579789930955 6.294794492423534 374.4
28.853238336159848 5.9040070520713925 374.3
6.537010618078057 -3.301757072098553 374.4
36.05557296209736 5.676955171395093 375.0
49.81494651263347 31.093195455148816 375.0
-28.845970292808488 6.045093710534275 374.4
-14.934255806147121 6.37501813005656 374.4
23.270136493607424 39.89202128816396 374.8
-22.50138867512578 6.511072203051299 374.6
20.54923309647711 -6.904073406010866 374.9
31.36422029300593 24.58216747874394 374.4
49.89214379823534 31.030759290326387 374.5
22.599653328186832 -18.247965147253126 374.7
-42.76154245680664 32.59605303173885 374.9
13.454830471193418 6.05310225347057 374.5
4.536083877901547 34.31640503089875 374.4
-3.108188009238802 6.3360113319940865 374.7
-0.8682951416121796 6.324778407346457 374.4
-44.052768410765566 19.646220537368208 374.7
-16.551077511219773 -26.93380594998598 374.6
-27.558859624899924 15.977457270026207 374.5
-5.072771475999616 15.67028626659885 374.4
-31.303535196813755 -32.18143068673089 374.8
9.53698053827975 -21.703957724850625 374.8
22.675388603121974 -19.8914275476709 374.7
20.621179073525127 5.955661486834288 374.4
49.71528051322093 31.208189826924354 375.0
11.654049036325887 34.27797734271735 374.4
24.47252546076197 -12.948803121689707 374.5
-6.3976310779107735 -19.549101704731584 374.8
-37.92824222013587 -6.178508775308728 374.8
23.140102634206414 30.161227751988918 374.8
9.668553934432566 -12.086992914322764 374.9
-21.732608770544175 -32.27977759344503 374.7
-24.606331539864186 34.64114038879052 374.4
